date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
20200101,116,55,30,20,17,15,53,101,166,240,327,165,127,157,192,163,163,109,72,91,118,110,91,92
20200102,94,37,20,13,15,20,41,82,138,198,283,153,144,205,265,274,372,161,91,88,99,86,125,87
20200103,89,46,16,12,18,23,41,80,125,196,255,127,120,164,203,563,1553,602,219,146,119,134,103,84
20200104,100,48,22,20,14,17,41,73,132,181,214,142,100,141,181,153,132,119,69,92,87,100,83,67
20200105,98,41,21,18,11,16,48,68,101,184,194,141,108,134,133,140,163,106,81,74,89,123,89,56
20200106,86,53,25,23,16,17,42,87,104,186,224,142,119,169,174,194,677,179,98,91,88,103,96,69
20200107,86,49,30,27,17,19,46,89,114,175,216,135,94,145,159,172,141,124,65,66,83,88,85,63
20200108,88,38,34,23,13,25,45,76,95,171,238,131,89,137,147,172,143,106,78,81,89,78,68,52
20200109,93,33,32,22,14,23,47,83,111,151,207,154,106,149,170,179,133,103,60,64,78,73,82,58
20200110,83,46,30,18,18,19,46,76,105,145,180,117,96,113,159,131,118,96,93,83,88,75,83,80
20200111,106,38,31,21,15,14,42,79,88,139,184,122,85,92,143,153,138,106,80,80,87,82,87,71
20200112,107,37,27,16,9,9,35,84,101,139,169,94,76,96,118,104,107,91,50,55,65,61,66,53
20200113,83,37,15,12,8,17,46,97,114,162,195,103,65,127,130,146,126,100,76,62,81,77,72,71
20200114,68,37,16,14,12,22,35,73,109,154,204,126,102,130,136,133,163,122,73,80,84,96,75,74
20200115,94,38,20,19,18,18,37,93,117,150,225,108,107,125,165,158,151,106,75,65,64,73,78,67
20200115,94,38,20,19,18,18,37,93,117,150,225,108,107,125,165,158,151,106,75,65,64,73,78,67
20200116,110,59,19,21,30,28,37,106,108,129,147,91,83,115,157,143,163,121,65,69,74,66,74,69
20200117,95,42,22,18,14,23,38,81,128,162,189,151,91,136,161,159,163,131,93,83,120,88,67,50
20200118,91,45,37,9,14,23,45,73,113,162,197,139,94,116,145,126,137,94,62,80,83,81,69,65
20200119,103,44,32,20,14,18,58,99,145,174,235,145,138,230,201,186,174,120,91,88,92,113,73,75
20200120,95,54,48,23,20,26,64,92,169,261,318,221,225,640,505,340,295,210,107,112,96,97,110,69
20200121,108,46,38,20,16,26,55,91,111,185,196,115,84,116,131,150,166,127,80,74,81,68,62,55
20200122,96,43,26,10,13,28,45,87,104,161,196,110,89,80,115,160,183,146,104,80,65,65,70,51
20200123,90,29,29,16,12,25,45,73,90,124,126,89,81,84,68,87,85,53,41,43,49,67,45,43
20200124,74,36,20,14,9,22,35,60,85,88,88,71,70,54,47,68,57,49,40,42,51,39,34,39
20200125,54,27,17,17,10,13,18,49,54,62,61,61,53,58,51,48,37,39,51,36,33,41,35,42
20200126,53,24,7,8,10,8,21,49,56,70,67,47,63,52,41,39,36,38,31,39,29,33,36,37
20200127,41,17,11,7,4,9,18,37,58,72,63,52,50,54,57,39,35,39,40,38,32,33,31,26
20200128,48,12,13,10,8,9,18,40,63,55,60,66,45,44,47,55,47,28,30,42,50,30,23,26
20200129,42,15,10,8,8,9,16,29,44,69,58,47,55,45,52,47,53,34,25,38,48,31,21,22
20200130,32,17,10,10,9,8,15,36,60,60,61,48,64,53,52,56,45,43,40,51,34,31,33,22
20200131,38,24,16,11,4,13,19,43,63,65,67,68,79,50,67,72,58,44,46,38,51,34,39,16
