日期,日活跃用户量,日新增用户量
2019/12/1,4277,341
2019/12/2,3863,287
2019/12/3,4102,322
2019/12/4,4330,320
2019/12/5,4967,386
2019/12/6,4516,306
2019/12/7,3545,279
2019/12/8,3564,241
2019/12/9,4672,327
2019/12/10,4082,304
2019/12/11,4387,466
2019/12/12,5026,356
2019/12/13,3999,216
2019/12/14,3233,224
2019/12/15,3186,162
2019/12/16,3449,184
2019/12/17,2967,189
2019/12/18,3665,253
2019/12/19,3551,269
2019/12/20,4130,224
2019/12/21,3256,154
2019/12/22,3866,143
2019/12/23,8187,232
2019/12/24,3194,144
2019/12/25,2953,165
2019/12/26,2400,126
2019/12/27,1943,180
2019/12/28,1551,122
2019/12/29,1520,134
2019/12/30,1936,198
2019/12/31,2332,427
