日期,日活跃用户量,日新增用户量,设备活跃,当月账号登陆人数(月活去重)
2020/2/1,374,35,374,19171
2020/2/2,644,38,646,
2020/2/3,735,49,740,
2020/2/4,700,30,704,
2020/2/5,691,88,692,
2020/2/6,673,41,675,
2020/2/7,581,24,584,
2020/2/7,581,24,584,
2020/2/8,627,65,627,
2020/2/9,641,47,645,
2020/2/10,1951,68,1957,
2020/2/11,1473,34,1476,
2020/2/12,896,46,899,
2020/2/13,1057,46,1059,
2020/2/14,1645,59,1665,
2020/2/15,2743,74,2778,
2020/2/16,2637,54,2662,
2020/2/17,2673,68,2689,
2020/2/18,2907,85,2929,
2020/2/19,3091,100,3107,
2020/2/20,3465,91,3479,
2020/2/21,4729,119,4751,
2020/2/22,4360,133,4383,
2020/2/23,4568,165,4581,
2020/2/24,5068,158,5094,
2020/2/25,4839,192,4871,
2020/2/26,5164,195,5196,
2020/2/27,4943,247,4979,
2020/2/28,4704,225,4739,
2020/2/29,5204,338,5373,
